Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Pulley (Simple Machine),National Museum of Science and Technology,Interactive Exhibit / Machine,Metal,Contemporary,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"A pulley is a grooved wheel that rotates freely around an axle. A rope hangs on either side of the groove. By tying a heavy object to one end and pulling the other end, the object can be lifted. There are two types of pulley: fixed and movable. A fixed pulley does not give mechanical advantage; it only changes the direction of force. A movable pulley changes both direction and gives mechanical advantage.",,https://nmst.gov.bd
Radar Antenna & Radar Display,National Museum of Science and Technology,Instrument / Technology,Metal / Electronics,Contemporary,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"Used to locate aeroplanes, rockets, etc. within a specific area. Detection information is obtained from the display.",,https://nmst.gov.bd
Ancient Printing Press (Gutenberg-type),National Museum of Science and Technology,Historic Machine,Metal / Wood,1893 (this version); original 1450 CE,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"Johann Gutenberg invented the printing machine. He initially carved images on wooden blocks and printed playing cards. He then carved images and brief biographies of great men onto large wooden blocks and printed them. In 1450 CE he opened the first printing press and in 1455 CE the first book (the Bible) was printed. In 1822, Arthur and William Cope Accibian Press made an improved machine, one of which is kept in the Dhaka City Museum. An improved version of that machine from 1893 is now displayed in the Science Museum.",,https://nmst.gov.bd
Electron Microscope (Model),National Museum of Science and Technology,Scale Model,Mixed Materials,Contemporary,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"Unlike ordinary microscopes that use light, electron microscopes use electrons. An ordinary light microscope can magnify objects up to 2,000 times. A modern electron microscope can magnify objects up to 10,000,000 times. The advantage of the electron microscope is that the wavelength of the electron wave is very short, giving it a much higher magnification power.",,https://nmst.gov.bd
Balaka Aircraft Jet Engine,National Museum of Science and Technology,Instrument / Engine,Metal / Alloy,1972 (Soviet gift); donated to museum 1991,"Agargaon, Dhaka",Technology Gallery,,"Donated by Bangladesh Air Force, 1991","In 1972, the Soviet Union gifted a personal aircraft to Bangabandhu Sheikh Mujibur Rahman — the Balaka aircraft. Its engine was donated to the Science Museum by the Bangladesh Air Force in 1991 as a museum exhibit.",,https://nmst.gov.bd
Ancient Aircraft Engine (WWII Radial Engine),National Museum of Science and Technology,Historic Engine,Metal / Alloy,"1941 (Wright Aeronautical Corporation, USA)","Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"A 14-cylinder (7 per row, 2 rows) radially connected spark ignition engine with cylinder heads. Each cylinder has two spark plugs. If one plug misses, the other immediately takes over. All pistons' function is to rotate the shaft. The engine was made by Wright Aeronautical Corporation (USA) in 1941. The aircraft was used in World War II.",,https://nmst.gov.bd
Old Gramophone (Phonograph),National Museum of Science and Technology,Historic Instrument,Metal / Wood,Invented by Thomas Alva Edison,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"Invented by Thomas Alva Edison. Energy is supplied by winding a spring by hand. When the speaker's pin is placed on the rotating plate, the device starts playing.",,https://nmst.gov.bd
Engine Air Tourer (Aircraft Training Engine),National Museum of Science and Technology,Historic Engine,Metal,Contemporary,"Agargaon, Dhaka",Technology Gallery,4 cylinders; RPM 2750,NMST Own Collection,A 4-cylinder and cylinder aircraft engine with a shaft and propeller. The aircraft was mainly used for training purposes. Its engine model is RPM-2750.,,https://nmst.gov.bd
Suspension Bridge Model (Hardinge Bridge),National Museum of Science and Technology,Scale Model,Mixed Materials,Contemporary,"Agargaon, Dhaka",Technology Gallery,"Main span 1,595 ft",NMST Own Collection,"A model of a suspension bridge, showing how two curved cables connect the main tower to the bridge. Suspension bridge's biggest advantage is that such a long span cannot be achieved by any other bridge type. John Augustus Roebling (German-American engineer) first designed and built a suspension bridge in New York over the East River in 1883, with a main span of 1,595 feet.",,https://nmst.gov.bd
Lever (Simple Machine Exhibit),National Museum of Science and Technology,Interactive Exhibit,Metal / Wood,Contemporary,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,"A lever is a simple machine. With it, heavy objects can be lifted with little force. Levers are of three classes depending on the position of fulcrum, force, and load. 1st class: fulcrum between force and load (e.g. see-saw, scissors, hand pump handle). 2nd class: load between fulcrum and force (e.g. wheelbarrow, nutcracker, paper-cutting machine). 3rd class: force applied between fulcrum and load (e.g. tongs, lifting heavy objects with forearm).",,https://nmst.gov.bd
Video Wkon Camera (Historic Video Camera),National Museum of Science and Technology,Historic Instrument,Metal / Electronics,20th century,"Agargaon, Dhaka",Technology Gallery,,NMST Own Collection,An early video camera on display as part of the Technology Gallery's collection of historic instruments.,,https://nmst.gov.bd
Newton's Colour Disc,National Museum of Science and Technology,Interactive Exhibit,Plastic / Paint / Motor,Contemporary,"Agargaon, Dhaka",Physics Gallery,,NMST Own Collection,"Demonstrates that the light of white colour is a mixture of seven different colours in specific proportions: violet, indigo, blue, green, yellow, orange and red (VIBGYOR). These colours are painted on the disc. When the disc is rotated, due to the inability of human brain perception in too short a time, all colours appear as white.",,https://nmst.gov.bd/pages/static-pages/6922e0ce933eb65569e28a77
Cinemascope,National Museum of Science and Technology,Interactive Exhibit,Optical / Mechanical,Contemporary,"Agargaon, Dhaka",Physics Gallery,,NMST Own Collection,"Demonstrates how cinema works. The human eye cannot detect more than averagely 10 individual pictures per second. If the exposure of pictures is more than 10 per second, the pictures seem to be continuous. This is the theme of motion pictures or movies.",,https://nmst.gov.bd/pages/static-pages/6922e0ce933eb65569e28a77
Fun Mirrors (Magic Mirrors),National Museum of Science and Technology,Interactive Exhibit,Mirror / Optics,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Fun mirrors are different from ordinary mirrors — they are convex and concave. Standing in front of these mirrors, your face appears short, tall, or contracted. This is because the mirrors are (1) convex, (2) concave. Because of being convex and concave, the face appears this way.",,https://nmst.gov.bd
Multiple Images (Peacock Image Exhibit),National Museum of Science and Technology,Interactive Exhibit,Optics / Mirror,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Shows a single image displayed in multiple different ways — called a 'bahurupi' (multiple-image). Looking through the round window of the exhibit toward the framed peacock image and rotating the knob, you can see the colour of the image gradually changing.",,https://nmst.gov.bd
Severed Head Illusion,National Museum of Science and Technology,Interactive Exhibit,Mixed Materials,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Standing in the empty hole of the exhibit, the visitor appears as if their head is cut off and placed on a plate or dish kept in the exhibit.",,https://nmst.gov.bd
Kaleidoscope,National Museum of Science and Technology,Interactive Exhibit,Mirror / Glass,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Three flat mirrors arranged inside the tube as the three sides of an equilateral triangle. The reflections of these three mirrors inside the kaleidoscope are at equal angles (60°) to each other. There are three-layered flat triangular transparent containers inside, each layer filled with coloured liquid. Rotating the tube causes the colourful liquid to flow downward while a beautiful changing pattern is formed and reflected repeatedly in the triangular mirrors before the viewer's eyes.",,https://nmst.gov.bd
Colourful Liquid Patterns,National Museum of Science and Technology,Interactive Exhibit,Liquid / Acrylic,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Through various coloured liquids, their density and surface tension can be used to create beautiful patterns.",,https://nmst.gov.bd
Can Light Be Seen? (Light in Vacuum),National Museum of Science and Technology,Interactive Exhibit,Optics / Electronics,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Looking at the switch-type tube from outside, light cannot be seen. But placing a hand inside the tube, the hand appears illuminated. Light can only be seen when an object reflects light to our eyes. This is why the sky appears dark further from Earth's atmosphere.",,https://nmst.gov.bd
Upward Electric Arc,National Museum of Science and Technology,Interactive Exhibit,Electronics / High Voltage,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"When the switch is pressed, an upward electric arc is created between two conducting rods by ionisation and lightning discharge. A potential difference of 25,000 volts is applied between the two rods. The arc travels upward due to convection of the hot ionised air.",,https://nmst.gov.bd
Seebeck Siren,National Museum of Science and Technology,Interactive Exhibit,Mechanical / Acoustic,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"When the disc of the exhibit is turned slowly after switching on, eight separate musical tones are heard one by one.",,https://nmst.gov.bd
Floating Disc (Electromagnetic Levitation),National Museum of Science and Technology,Interactive Exhibit,Electronics / Electromagnet,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Pressing the switch, the disc immediately jumps up and floats in the air — an application of Lenz's law of electromagnetic induction.",,https://nmst.gov.bd
Iris (Eye Pupil Demonstration),National Museum of Science and Technology,Interactive Exhibit,Mirror / Optics,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"A circular dark spot can be seen at the exact centre of the eye globe by bringing the face very close to the concave mirror. Rotating the knob changes the brightness of light. The iris works like the aperture control of a camera. In dim light, the iris dilates to allow more light for better visibility.",,https://nmst.gov.bd
Anamorphosis (Distorted Image Restoration),National Museum of Science and Technology,Interactive Exhibit,Mirror / Optics,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"A distorted drawn image: looking at the reflection on a cylindrical or conical reflector, the true object can be recognised. This is an application of the linear transformation matrix of non-linear kinematics.",,https://nmst.gov.bd
Lazy Tongs / Inertia Exhibit,National Museum of Science and Technology,Interactive Exhibit,Metal,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"All rods are knocked down through a hole path one by one. Even when all rods fall together, one rod falls with a delay. The exhibit demonstrates how superconductors are formed by the emergence of attraction force.",,https://nmst.gov.bd
Two Ears Hearing (Binaural Direction Sensing),National Museum of Science and Technology,Interactive Exhibit,Acoustic / Electronics,Imported 2003,"Agargaon, Dhaka",Fun Science Gallery,,Imported from India's NCSM,"Sitting in the exhibit's seat and holding both ear-pieces to both ears, with a companion standing behind and striking various parts of the plastic with a finger, you can tell which direction the sound comes from. Every time you can estimate the source location of the sound. The exhibit explains 'why do we need two ears?'",,https://nmst.gov.bd
Ancient Petrified Wood,Bangladesh National Museum,Geological Specimen,Petrified Wood,Approx. 2.5 Million Years Old,"Lalmai and Mainamati, Comilla District, Bangladesh",Rocks and Minerals,,,"One of the most significant objects in the museum; ancient fossilized wood estimated at 2.5 million years old, offering evidence of prehistoric vegetation of Bengal.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Whale Skeleton (Giant Whale Saw Fish),Bangladesh National Museum,Natural History Specimen,Bone,Modern Era (collected 20th century),Bay of Bengal / Coastal Bangladesh,Mammals / Marine Life Gallery,,,"Large skeleton of a giant whale saw fish, one of the notable objects of the natural history galleries. A tongue of a whale is also on separate display.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Royal Bengal Tiger (Taxidermied),Bangladesh National Museum,Taxidermy / Natural History,Biological,20th Century,"Sundarbans, Khulna Division, Bangladesh",Mammals Gallery,,,"Stuffed Royal Bengal Tiger from the Sundarbans mangrove forest, displayed to represent Bangladesh's iconic wildlife. A large statue also displayed separately.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Spotted Deer (Chital Deer) Display,Bangladesh National Museum,Taxidermy / Natural History,Biological,20th Century,"Sundarbans, Bangladesh",Mammals Gallery,,,"Taxidermied Chitral (spotted) deer from the Sundarbans, displayed alongside other wildlife specimens in the natural heritage galleries.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Beehive Display,Bangladesh National Museum,Natural History Specimen,Biological,20th Century,Bangladesh,Insects / Plants Gallery,,,Natural beehive specimen displayed as part of insect and flora collections illustrating the biodiversity of Bangladesh.,,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Butterfly Collection,Bangladesh National Museum,Natural History Specimen,Biological,20th Century,Various regions of Bangladesh,Insects Gallery,,,"Collection of different types of butterflies representing the insect biodiversity of Bangladesh, displayed in the natural history section.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Reptile Collection,Bangladesh National Museum,Natural History Specimen,Biological,20th Century,Bangladesh,Reptiles Gallery,,,"Collection of reptile specimens representing native reptilian fauna of Bangladesh, forming part of the natural history galleries.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Sea Life of the Bay of Bengal Collection,Bangladesh National Museum,Natural History Specimen,Biological,20th Century,"Bay of Bengal, Bangladesh",Marine Life Gallery,,,"Marine specimens representing the biodiversity of the Bay of Bengal and coastal waters, including shells, mollusks, and sea creatures.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Rocks and Minerals Collection,Bangladesh National Museum,Geological Specimen,Various Minerals and Rocks,Various geological eras,"Various locations, Bangladesh",Rocks and Minerals Gallery,,,"Geological specimens including rocks, minerals, and a geological map of Bangladesh illustrating the country's geomorphology.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
"Flora Specimens (Cereals, Pulses, Herbal Medicines)",Bangladesh National Museum,Botanical Specimen,Biological,20th Century,"Various regions, Bangladesh",Plants Gallery,,,"Collection of economically important plants, cereals, pulses, herbal medicines, flowers, fruits and creepers representing Bangladesh's plant heritage.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Bird Collection (Birds of Bangladesh),Bangladesh National Museum,Taxidermy / Natural History,Biological,20th Century,Bangladesh,Birds Gallery,,,"Display of various bird species of Bangladesh including migratory and native birds, presented as part of natural heritage galleries with semi-dioramas.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Peacock (Peafowl) Specimen,Bangladesh National Museum,Taxidermy / Natural History,Biological,20th Century,Bangladesh,Birds Gallery,,,Taxidermied peafowl displayed as part of the bird collection representing Bangladesh's native bird species.,,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Elephant Display,Bangladesh National Museum,Taxidermy / Natural History,Biological,20th Century,Bangladesh / Chittagong Hill Tracts,Elephant Gallery,,,"Large elephant display forming a dedicated gallery in the natural history section, showcasing one of the largest land animals found in Bangladesh.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Sundarbans Diorama,Bangladesh National Museum,Diorama / Natural History,Mixed (biological & craft),20th Century,"Sundarbans, Khulna & Bagerhat Divisions, Bangladesh",Sundarbans Gallery,,,"Semi-diorama and diorama displays depicting the Sundarbans mangrove ecosystem, the world's largest mangrove forest, with its fauna and flora.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Monkey and Langur Specimens,Bangladesh National Museum,Taxidermy / Natural History,Biological,20th Century,Bangladesh,Mammals Gallery,,,Monkey and langur specimens preserved and displayed as part of the natural history mammal collection.,,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Naga Darwaza (Serpent Doorway),Bangladesh National Museum,Architectural Fragment / Sculpture,Black Stone,10th–11th Century AD,"Bangarh, Dinajpur District, Bangladesh",Architectural Artifacts Gallery,,,"A spectacular black stone serpent doorway (Naga Darwaza), one of the most significant objects in the museum. Represents medieval temple architecture of Bengal.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Black Basalt Buddha Statue (Pala Period),Bangladesh National Museum,Sculpture,Black Basalt Stone,8th–12th Century AD (Pala Period),Bengal Region (exact site unrecorded),Sculpture Gallery 1,,,"A serene and exquisitely crafted black basalt Buddha statue from the Pala Dynasty period, considered one of the finest examples of ancient Bengali Buddhist art. Features intricate detailing and a calm expression characteristic of Pala School of Art.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Tara Statue (Pala Era),Bangladesh National Museum,Sculpture,Stone / Bronze,Pala Period (8th–12th Century AD),Bengal Region,Sculpture Gallery 1,,,"Iconic Pala-era sculpture of the Bodhisattva Tara, a goddess revered in both Buddhism and Hinduism. Renowned as one of the most important sculptures in the museum's collection.",,https://audiala.com/en/bangladesh/dhaka/bangladesh-national-museum
Surya (Sun God) Statue – Pala Period,Bangladesh National Museum,Sculpture,Stone,Pala Period (8th–12th Century AD),Bengal Region,Sculpture Gallery 1,,,"Famous stone sculpture of Surya (the Sun God) from the Pala period, known for its expressive face and intricate carvings, representative of the high artistic tradition of ancient Bengal.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Vishnu Statue – Pala Period,Bangladesh National Museum,Sculpture,Stone,Pala Period (8th–12th Century AD),Bengal Region,Sculpture Gallery 1,,,"Stone sculpture of the Hindu deity Vishnu from the Pala period, a major attraction in the sculpture galleries representing the Hindu artistic and religious tradition of ancient Bengal.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Durga Sculpture,Bangladesh National Museum,Sculpture,Bronze / Stone,Pala–Sena Period (8th–12th Century AD),Bengal Region,Sculpture Gallery 1,,,"Bronze or stone image of the Hindu goddess Durga from the Pala-Sena period, part of the museum's extensive collection of ancient Bengali religious sculptures.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Bronze Bodhisattva Figures,Bangladesh National Museum,Sculpture,Bronze,Pala Period (8th–12th Century AD),Bengal Region,Sculpture Gallery 1,,,"Collection of exquisite bronze images of Bodhisattvas from the Pala period, characterized by slender forms, elaborate ornamentation, and serene expressions representing the Pala School of Art.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Terracotta Plaques from Mahasthangarh,Bangladesh National Museum,Terracotta,Terracotta,Mauryan–Gupta Period (3rd Century BC – 6th Century AD),"Mahasthangarh, Bogura District, Bangladesh",Archaeological Artifacts Gallery,,,"Terracotta plaques recovered from Mahasthangarh, one of Bengal's earliest known urban archaeological sites, depicting deities, mythological scenes, and daily life of ancient inhabitants.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Terracotta Plaques from Paharpur,Bangladesh National Museum,Terracotta,Terracotta,Pala Period (8th–9th Century AD),"Paharpur, Naogaon District, Bangladesh",Archaeological Artifacts Gallery,,,"Terracotta plaques and architectural fragments excavated from Paharpur (Somapura Mahavihara), a UNESCO World Heritage Site representing the largest Buddhist monastery south of the Himalayas.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Prehistoric Hand Axes (Stone Tools),Bangladesh National Museum,Archaeological Tool,Stone (Chert / Quartzite),"Paleolithic Era (pre-10,000 BC)","Various prehistoric sites, Bangladesh",Archaeological Artifacts Gallery,,,"Iron and stone hand axes and other prehistoric lithic tools representing the earliest human presence in the Bengal region, part of the Stone Age artifact collection.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Ancient Pottery Collection,Bangladesh National Museum,Pottery,Ceramic / Clay,Various periods (Neolithic to Medieval),"Various archaeological sites, Bangladesh",Potteries Gallery,,,"Collection of ancient pottery and ceramics from various periods of Bengal's history, from Neolithic handmade ware to wheel-thrown ceramics of the Sultanate period, representing daily life of ancient peoples.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Coins of Emperor Sher Shah (Gold / Silver),Bangladesh National Museum,Numismatic / Coin,Gold / Silver,Suri Dynasty (1540–1545 AD),Bengal / North India,"Coins, Medals and Ornaments Gallery",,,"Rare coins minted during the reign of Emperor Sher Shah Suri, one of the most significant medieval rulers of the Indian subcontinent. Part of the museum's vast collection of over 53,000 ancient and medieval coins.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Ancient and Medieval Coin Collection (General),Bangladesh National Museum,Numismatic Collection,"Gold, Silver, Copper",Mauryan to Mughal Period (3rd BC – 18th AD),Various sites across Bengal and India,"Coins, Medals and Ornaments Gallery",,,"A vast collection of over 53,000 gold, silver, and copper coins from the Mauryan, Gupta, Pala, Sultanate, and Mughal periods, documenting the monetary and political history of Bengal and the Indian subcontinent.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Ancient Stone Inscriptions,Bangladesh National Museum,Inscription,Stone (Sandstone / Black Stone),Gupta to Sultanate Period (4th–15th Century AD),"Various sites, Bangladesh",Inscriptions Gallery,,,"Collection of stone inscriptions in Sanskrit, Arabic, and Persian from various medieval dynasties, providing historical records of rulers, land grants, and religious dedications.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Copperplate Inscriptions,Bangladesh National Museum,Inscription / Document,Copper,Pala–Sena Period (8th–12th Century AD),"Various sites, Bengal",Inscriptions / Manuscripts Gallery,,,"Ancient copperplate inscriptions recording royal land grants, administrative decrees, and genealogical records of the Pala and Sena dynasties of Bengal.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Surrender Table (16 December 1971),Bangladesh National Museum,Historical Artifact,Wood (Table),1971 AD,"Dhaka, Bangladesh",War of Liberation Gallery 1,,,"The historic table on which Lt. General A. A. K. Niazi of the Pakistan Army signed the Instrument of Surrender to the Joint Forces of Bangladesh and India on 16 December 1971, marking Bangladesh's independence.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
First Flag of Independent Bangladesh (Foreign Mission Copy),Bangladesh National Museum,Historical Artifact / Flag,Fabric,1971 AD,Abroad / Bangladesh,War of Liberation Gallery 1,,,"The first flag of independent Bangladesh hoisted at foreign missions, representing a key symbol of national sovereignty during the Liberation War of 1971.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
7 March 1971 Declaration (Sheikh Mujibur Rahman),Bangladesh National Museum,Historical Document / Artifact,Paper / Audio-visual,7 March 1971,"Dhaka, Bangladesh",War of Liberation Gallery 1,,,"Historic declaration delivered by Bangabandhu Sheikh Mujibur Rahman on 7 March 1971 at Suhrawardy Udyan, Dhaka – now recognized as a UNESCO World Memory of the World. The museum preserves documents and artifacts related to this speech.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Shirt and Shoes of Shaheed Shafiur Rahman,Bangladesh National Museum,Historical Artifact / Personal Effect,Fabric / Leather,21 February 1952,"Dhaka, Bangladesh",War of Liberation / Language Movement Gallery,,,"The bullet-ridden and blood-stained shirt and shoes of Shaheed Shafiur Rahman, a martyr of the Language Movement of 21 February 1952, who was killed by police under the Pakistani government.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Personal Mementos of Shaheed Asad,Bangladesh National Museum,Historical Artifact / Personal Effect,Various,1969 AD,"Dhaka, Bangladesh",Martyred Intellectuals Gallery,,,"Personal mementos and effects belonging to Shaheed Asaduzzaman Asad, a student leader martyred during the Mass Uprising of 1969 against Pakistani rule.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Mementos of Kazi Nazrul Islam,Bangladesh National Museum,Historical Artifact / Personal Effect,Various,Early 20th Century,"West Bengal / Dhaka, Bangladesh",Portraits of National Heroes Gallery,,,"Historic mementos, personal effects, and items associated with Kazi Nazrul Islam, the national poet of Bangladesh and revolutionary poet of Bengal.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Mementos of Rabindranath Tagore,Bangladesh National Museum,Historical Artifact / Personal Effect,Various,Early 20th Century,West Bengal / Bangladesh,Portraits of National Heroes Gallery,,,"Historic mementos and memorabilia associated with Rabindranath Tagore, Nobel Laureate poet whose work is deeply intertwined with Bengali cultural identity.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Mementos of Michael Madhusudan Dutt,Bangladesh National Museum,Historical Artifact / Personal Effect,Various,19th Century,West Bengal / Bangladesh,Portraits of National Heroes Gallery,,,"Historical mementos and artifacts associated with Michael Madhusudan Dutt, pioneering Bengali poet and dramatist of the 19th century.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Mementos of Rokeya Sakhawat Hossain,Bangladesh National Museum,Historical Artifact / Personal Effect,Various,Early 20th Century,"Rangpur / Dhaka, Bangladesh",Portraits of National Heroes Gallery,,,"Historical mementos of Begum Rokeya Sakhawat Hossain, pioneering feminist writer and social reformer of Bengal.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Liberation War Documents and Photographs,Bangladesh National Museum,Historical Document / Photograph,Paper / Photo,1971 AD,Bangladesh,War of Liberation Gallery 1 & 2,,,"Collection of documents, photographs, posters, and records related to the Liberation War of Bangladesh in 1971, including photos of refugee camps, genocide documentation, and freedom fighting activities.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Torture Machines (Pakistani Army – 1971),Bangladesh National Museum,Historical Artifact,Metal / Wood,1971 AD,"Dhaka, Bangladesh",War of Liberation Gallery,,,"Torture machines and instruments used by the Pakistani army during the Liberation War of 1971, preserved as evidence of the genocide and war crimes committed against Bengali civilians and freedom fighters.",,http://offroadbangladesh.com/places/bangladesh-national-museum/
Manuscripts (Palm Leaf and Paper),Bangladesh National Museum,Manuscript,Palm Leaf / Paper,Medieval Period (10th–18th Century AD),"Various monastic and scholarly sites, Bengal",Manuscripts and Documents Gallery,,,"Collection of ancient palm-leaf manuscripts and paper manuscripts written in Sanskrit, Bengali, Arabic, and Persian, representing the intellectual and religious traditions of medieval Bengal.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Miniature Paintings Collection,Bangladesh National Museum,Painting,Paper / Ivory,Mughal–Colonial Period (16th–19th Century AD),Bengal / Mughal Empire,Traditional and Miniature Paintings Gallery,,,"Collection of Mughal-style miniature paintings depicting courtly life, battles, religious themes, and portraits, representing the peak of Indo-Persian artistic tradition in Bengal.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Mughal Era Arms and Weapons,Bangladesh National Museum,Weapon / Armour,Iron / Steel / Bronze,Mughal Period (16th–18th Century AD),Bengal / North India,Arms and Weapons Gallery,,,"Collection of arms and armour from the Mughal era, including swords, shields, daggers, and firearms. The museum holds one of the largest collections of arms and armour in the Indian subcontinent.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Old Guns at Entrance (Colonial Era Cannons),Bangladesh National Museum,Weapon / Cannon,Iron / Cast Iron,18th–19th Century AD,Bengal,Ground Floor Entrance,,,"Collection of old guns and cannons displayed at the museum entrance, representing the colonial era military heritage of Bengal.",,http://offroadbangladesh.com/places/bangladesh-national-museum/
Iron Axes (Prehistoric),Bangladesh National Museum,Archaeological Tool,Iron,Iron Age (Approx. 800 BC – 200 AD),"Various sites, Bangladesh",Archaeological Artifacts Gallery,,,"Collection of iron axes from the Iron Age period of Bengal, representing the technological advancement in metalworking among ancient peoples of the region.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
"Medals, Royal Decrees and Historic Artworks",Bangladesh National Museum,Medal / Document / Artwork,"Various (metal, paper, fabric)",Medieval to Colonial Period,Bengal,"Coins, Medals and Ornaments Gallery",,,"Collection of medals, royal decrees, and historic artworks from various periods representing political authority, honors, and administrative records of Bengal's rulers.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Atom Bomb Pieces (Hiroshima and Nagasaki),Bangladesh National Museum,Historical Artifact,Debris / Metal,1945 AD,"Hiroshima and Nagasaki, Japan",World Art Gallery / Special Display,,,"Pieces of the atomic bombs dropped on Hiroshima and Nagasaki, Japan in August 1945, preserved as a reminder of the devastating effects of nuclear warfare. Also includes potteries burnt during the Second World War.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Ancient Potteries burnt in Hiroshima (WWII),Bangladesh National Museum,Pottery / Historical Artifact,Ceramic,1945 AD (WWII),"Hiroshima, Japan",Contemporary Art and World Civilization,,,"Potteries burnt and damaged during the atomic bomb blast in Hiroshima, Japan in 1945, collected as war artifacts and presented alongside the atom bomb debris.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Buddhist and Brahminical Stone Sculptures (General Collection),Bangladesh National Museum,Sculpture,Black Stone / Sandstone / Schist,Gupta to Pala-Sena Period (4th–12th Century AD),Various sites across Bengal,Sculpture Gallery 1 & 2,,,"Extensive collection of Buddhist and Brahminical stone sculptures from the Gupta, Pala, and Sena periods, representing the zenith of classical Bengali religious art. The world-famous collection is a major attraction for international visitors.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
